sector_scope,dimension,bucket,horizon,observations,unique_issuers,support_status,support_min_observations,support_min_issuers,uncertainty_contract,mean_return,median_return,positive_return_rate,mean_excess_return,median_excess_return,outperform_0050_rate,standard_deviation,p25_return,p75_return,issuer_cluster_mean_return_se,issuer_cluster_mean_return_ci95_low,issuer_cluster_mean_return_ci95_high,time_cluster_mean_return_se,time_cluster_mean_return_ci95_low,time_cluster_mean_return_ci95_high,issuer_cluster_mean_excess_se,issuer_cluster_mean_excess_ci95_low,issuer_cluster_mean_excess_ci95_high,time_cluster_mean_excess_se,time_cluster_mean_excess_ci95_low,time_cluster_mean_excess_ci95_high,issuer_cluster_median_return_ci95_low,issuer_cluster_median_return_ci95_high,time_cluster_median_return_ci95_low,time_cluster_median_return_ci95_high,issuer_cluster_median_excess_ci95_low,issuer_cluster_median_excess_ci95_high,time_cluster_median_excess_ci95_low,time_cluster_median_excess_ci95_high,median_return_lift_vs_all,median_excess_return_lift_vs_all,outperform_rate_lift_vs_all
GENERAL,VALUATION,NORMAL,60d,633,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10272881309904802,0.05128201305836688,0.6777251184834123,0.036204284805785844,0.007064587756358431,0.5260663507109005,0.2672192698199008,-0.018716541759470573,0.15636381738764715,0.012510253250994719,0.07820871672709837,0.12724890947099768,0.020465692751103888,0.06261605530688441,0.14284157089121163,0.012444899181692162,0.011812282409669209,0.06059628720190248,0.01455621452828495,0.007674104330347341,0.06473446528122434,0.03756477625589705,0.06993165814559787,0.03119792883972906,0.06829727121647232,-0.009958753713065531,0.022711668750044493,-0.015521819022436212,0.02486290817655042,-0.008123977757370504,-0.002855534763712142,-0.004562129798248327
GENERAL,VALUATION,NORMAL,120d,622,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.18543106826837727,0.07230484781329816,0.7009646302250804,0.06558604816100894,0.0032722032734876505,0.5032154340836013,0.395300461697831,-0.02339925680052804,0.26089213740399947,0.023660037271237288,0.1390573952167522,0.23180474132000234,0.033165876886269964,0.12042594957128815,0.2504361869654664,0.02490556753746883,0.01677113578757003,0.11440096053444784,0.019911580191895054,0.026559350984894634,0.10461274533712324,0.05243448876341694,0.11812170487885952,0.05378725144260099,0.11073168804637852,-0.02622505167663028,0.046639633254353316,-0.024687442798482166,0.027312143973618187,-0.010756922691194437,-0.004341826052283837,-0.007457800727564634
GENERAL,VALUATION,NORMAL,252d,599,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.4482443101652757,0.16474740018257483,0.7562604340567612,0.1817935234544007,0.012556765326876107,0.5175292153589316,0.9148925471470136,0.004722465106897777,0.5559138659910411,0.06091883822224498,0.32884338724967555,0.5676452330808759,0.10693825818940453,0.23864532411404285,0.6578432962165086,0.0610407443351368,0.06215366455753257,0.3014333823512688,0.05947922032772485,0.06521425161206,0.2983727952967414,0.11767968194123034,0.25132753567417904,0.12306212896337435,0.23214792928454073,-0.05013024839150378,0.07134588126709664,-0.03670113376911489,0.05239232071884809,-0.030736063072230424,-0.018812873003775377,-0.015173022162582983
GENERAL,VALUATION,NORMAL,504d,513,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.9271170547396218,0.43681745212917966,0.8596491228070176,0.44411800139759816,0.08974838916563821,0.571150097465887,1.3994749270914952,0.11441509338123601,1.2082956781687013,0.13088672834277154,0.6705790671877896,1.183655042291454,0.12246069725656425,0.6870940881167559,1.1671400213624876,0.1317239861034428,0.1859389886348503,0.702297014160346,0.08299448529575176,0.28144881021792467,0.6067871925772717,0.2820752671124311,0.649968831797751,0.32321124040995486,0.5616602201106211,-0.022374144241665228,0.23325320862815535,0.0031188925409563455,0.1600774987540241,-0.0339521301549488,-0.03414856994533855,-0.01587055150166461
GENERAL,VALUATION,HIGH,60d,336,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.10997456675981573,0.04590957749910929,0.6101190476190477,0.030416420047777337,-0.0007333846421286316,0.5,0.2685694552078558,-0.047530126181898974,0.20877349126706068,0.01520609164207293,0.08017062714135278,0.13977850637827868,0.032697073544332836,0.04588830261292337,0.1740608309067081,0.013787522399884606,0.00339287614400351,0.05743996395155117,0.019282666201990623,-0.007377605708124284,0.06821044580367897,0.01538480407818521,0.0737449061121727,0.006603852450088289,0.08751505129786359,-0.02206743776574525,0.01166818355278687,-0.029728142940554925,0.017275008615381893,-0.013496413316628098,-0.010653507162199205,-0.030628480509148792
GENERAL,VALUATION,HIGH,120d,311,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.2165430939962164,0.07180016712893744,0.6463022508038585,0.07230429942882659,-0.009298311474083665,0.4694533762057878,0.4673412437131725,-0.04226281066035009,0.31038966445479654,0.030109360751832345,0.15752874692262503,0.2755574410698078,0.051320815974327076,0.11595429468653534,0.31713189330589747,0.02750023759199034,0.018403833748525528,0.12620476510912765,0.02922309266971332,0.015027037796188483,0.12958156106146468,0.04314517901503545,0.11257772920990453,0.02648039608267408,0.12503871935350325,-0.040583630588301355,0.021913017658313348,-0.038048197211928425,0.014014223264267442,-0.011261603375555151,-0.016912340799855152,-0.04121985860537808
GENERAL,VALUATION,HIGH,252d,281,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.44868955443237285,0.1454209327886451,0.6654804270462633,0.18310056377121842,-0.026940089948258028,0.4697508896797153,0.9069720793445382,-0.04430546980289063,0.5615720767953558,0.07280878014986909,0.3059843453386294,0.5913947635261163,0.09845277203761765,0.25572212123864224,0.6416569876261035,0.06966208100030914,0.04656288501061251,0.3196382425318243,0.05683861961602955,0.07169686932380051,0.29450425821863635,0.0822158379605269,0.22255986300787428,0.04951410699868603,0.2455504778342593,-0.09799949825738614,0.038238293883365256,-0.08580716075726315,0.03220982105018355,-0.05006253046616016,-0.05830972827890951,-0.06295134784179929
GENERAL,VALUATION,HIGH,504d,230,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.8804043321735768,0.4186691867182494,0.8260869565217391,0.3929919989314584,0.06701508036440551,0.5608695652173913,1.5265407405455838,0.06536052426815109,1.085721421619918,0.14997494034005168,0.5864534491070755,1.174355215240078,0.1626297495017512,0.5616500231501445,1.1991586411970092,0.14035126654595897,0.11790351650137881,0.668080481361538,0.08439397001064096,0.22757981771060215,0.5584041801523147,0.17444439360976466,0.6496082361971107,0.24033692838364112,0.6249861187454047,-0.08125055878061276,0.22588083519852908,0.015531821242898314,0.1578428376834986,-0.05210039556587909,-0.056881878746571246,-0.026151083750160287
GENERAL,VALUATION,NOT_MEANINGFUL,60d,63,32,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.1708968732281186,0.12985696583121076,0.746031746031746,0.06526523384367196,0.009592736002980162,0.5079365079365079,0.29323906729990795,-0.001736376739775003,0.2627484233550166,0.035255842946643745,0.10179542105269687,0.23999832540354035,0.03433326121624857,0.10360368124427141,0.2381900652119658,0.03578933639201542,-0.004881865484678255,0.13541233317202217,0.043943526296474814,-0.020864077697418673,0.1513945453847626,0.08601024285455772,0.21974507847077018,-0.01947963487966902,0.1779195081681922,-0.056366831630086225,0.08452073142024852,-0.03389595516833632,0.13857624351177056,0.07045097501547337,-0.0003273865170904111,-0.022691972572640884
GENERAL,VALUATION,NOT_MEANINGFUL,120d,61,32,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.3409140337911901,0.15573755549424972,0.7704918032786885,0.1985547968519021,0.04110822424162541,0.5409836065573771,0.5367018559798103,0.019348685898053608,0.37945853125698714,0.09830358939822623,0.14823899857066672,0.5335890690117135,0.10621720690326852,0.13272830826078383,0.5490997593215964,0.09307391212656405,0.01612992908383659,0.38097966461996763,0.13308948974043483,-0.06230060303935017,0.4594101967431544,0.08320049804657126,0.31325600309958035,0.11198557089917616,0.5964834087353605,-0.06324786959168738,0.1882227871726175,-0.0410750024522577,0.5167036683913575,0.07267578498975713,0.033494194915853925,0.030310371746211207
GENERAL,VALUATION,NOT_MEANINGFUL,252d,60,32,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,0.7245907114602411,0.34912046185609724,0.85,0.46543751743607586,0.1237392798759922,0.6,1.0084322918397892,0.09614197323092472,1.00028200141061,0.22448620834975946,0.2845977430947126,1.1645836798257696,0.20504847544931878,0.32269569957957633,1.126485723340906,0.1909617457216814,0.09115249582158036,0.8397225390505714,0.2172092938802575,0.03970730143077117,0.8911677334413806,0.1565551568226602,0.8052155267974974,0.2647399274855182,1.3553289302940625,-0.07446848468583667,0.4690585023533905,0.009919829875521868,1.1151275526673137,0.15363699860129199,0.09236964154534072,0.0672977624784854
GENERAL,VALUATION,NOT_MEANINGFUL,504d,56,31,SUPPORTED,30,5,ISSUER_AND_ENTRY_QUARTER_CLUSTERED,1.2121752283696694,0.5375280448723105,0.9285714285714286,0.790908117315664,0.1230190605113678,0.5714285714285714,1.7837050210314425,0.18745333680803028,1.5093517421914382,0.2941296813557148,0.6356810529124683,1.7886694038268705,0.14056368738571873,0.9366704010936606,1.4876800556456782,0.29240233889857564,0.21779953307445576,1.3640167015568723,0.1686258656355543,0.46040142066997763,1.1214148139613505,0.36169359532886225,1.039180436418738,0.43773956371140554,1.3054011074459777,-0.11350310201302527,0.5846803184849094,-0.03770448448547414,0.7310575592978196,0.06675846258818208,-0.0008778985996089617,-0.015592077538980176
