baseline,horizon,n,unique_issuer_count,mean_return,median_return,positive_rate,mean_excess_return,median_excess_return,mean_max_close_to_close_favorable_return,mean_max_close_to_close_adverse_return,worst_max_drawdown,iid_standard_error,iid_ci95_low,iid_ci95_high,issuer_cluster_standard_error,issuer_cluster_ci95_low,issuer_cluster_ci95_high,time_cluster_standard_error,time_cluster_ci95_low,time_cluster_ci95_high,independence_assumption
F_QUALITY_PLUS_VALUATION,756d,40,13,4.180894330536875,3.4139428210831393,0.975,2.806760716158563,1.2419555899939088,5.252601940735972,-0.11869604689448943,-0.5751974001876238,0.64466067091086,2.917359415551589,5.44442924552216,1.3412971439124681,1.551951928468437,6.809836732605312,0.6085990781052891,2.9880401374505077,5.373748523623242,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
G_STATE_PLUS_VALUATION,20d,203,36,0.0180585544437049,0.004524877970268015,0.5517241379310345,0.00589396207897574,-0.007370000789816089,0.07532329880496139,-0.06534634137331263,-0.28476192947945167,0.008265567087370359,0.0018580429524589978,0.0342590659349508,0.009018904435186704,0.00038150175073895995,0.035735607136670844,0.016018281702170675,-0.01333727769254962,0.04945438657995942,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
G_STATE_PLUS_VALUATION,60d,203,36,0.1244970051917978,0.07915568769201986,0.6699507389162561,0.05686801708759052,0.02281027235139632,0.21014410416373014,-0.09717554519382045,-0.35318266754596483,0.01755637674635334,0.09008650676894525,0.15890750361465034,0.021459745022329557,0.08243590494803187,0.1665581054355637,0.032238678672877524,0.06130919499295785,0.18768481539063775,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
G_STATE_PLUS_VALUATION,120d,200,36,0.2590765896453881,0.13078045547615114,0.71,0.11324292817534508,0.03008005403103864,0.3894738111328656,-0.12175291909242013,-0.5428571112691754,0.029131362509708943,0.20197911912635858,0.3161740601644176,0.0394790281689642,0.18169769443421827,0.33645548485655796,0.05173658278214921,0.15767288739237567,0.36048029189840053,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
G_STATE_PLUS_VALUATION,252d,193,36,0.6489433338267998,0.29094185924193905,0.8341968911917098,0.2812393676282249,0.07489300978633873,0.8703927580807648,-0.14513258831154854,-0.6011331374702868,0.07396789426937558,0.5039662610588237,0.7939204065947759,0.09860542585958888,0.4556766991420056,0.842209968511594,0.14960846306979986,0.3557107462099921,0.9421759214436075,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
G_STATE_PLUS_VALUATION,504d,141,34,0.8352266607631784,0.5879471006428867,0.8936170212765957,0.34160480103465735,0.17605317410533894,1.2822563256265767,-0.14371492843662423,-0.6267966943883834,0.07752159523544877,0.6832843341016989,0.987168987424658,0.11254020881217697,0.6146478514913116,1.0558054700350452,0.09607121682086305,0.6469270757942869,1.02352624573207,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
G_STATE_PLUS_VALUATION,756d,137,34,1.940233373763453,1.0746047733771653,0.9343065693430657,1.0329014925153275,0.40921599117352847,2.452816505379113,-0.15069998926246522,-0.6846589317636123,0.20318454351932794,1.5419916684655701,2.3384750790613356,0.30240121214245347,1.3475269979642441,2.5329397495626615,0.36495208043312893,1.2249272961145201,2.655539451412386,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
H_FULL_MODEL,20d,33,13,0.023531124645020402,0.004524877970268015,0.5454545454545454,0.01590435911349314,0.021652719961970268,0.0815740468630809,-0.09563847161792052,-0.28476192947945167,0.02051881115784704,-0.016685745224359793,0.0637479945144006,0.021265337850497133,-0.018148937541953975,0.06521118683199478,0.02546209366766343,-0.02637457894359992,0.07343682823364073,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
H_FULL_MODEL,60d,33,13,0.22120844012465485,0.1541501976284585,0.7575757575757576,0.1464883164108408,0.08797122213786412,0.2942591391940695,-0.12417291687651334,-0.3247197700050366,0.05081488368459717,0.1216112681028444,0.3208056121464653,0.062447283998648136,0.0988117634873045,0.3436051167620052,0.06981805605081783,0.08436505026505192,0.3580518299842578,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
H_FULL_MODEL,120d,33,13,0.47739983171245104,0.38315359585171094,0.7878787878787878,0.3063943064111997,0.15840302012005392,0.6323859356383631,-0.1437601501142165,-0.42911875780414366,0.09194712270691623,0.29718347120689526,0.6576161922180068,0.1252189493712305,0.2319706909448393,0.7228289724800627,0.12982905193910516,0.22293488991180493,0.7318647735130972,NON_IID_REPEATED_ISSUER_OVERLAPPING_WINDOWS
